iter	Passed	Remaining
0	18980	9907582
1	42912	11178764
2	67080	11627293
3	85908	11146593
4	109488	11342961
5	132631	11428425
6	155664	11474709
7	178516	11492020
8	201123	11486377
9	219693	11270251
10	242854	11303792
11	265645	11312071
12	288860	11332227
13	311465	11323982
14	334233	11319389
15	357702	11334692
16	381018	11340898
17	404455	11347237
18	423434	11232144
19	447057	11243490
20	470476	11246624
21	494034	11250515
22	517456	11249060
23	540984	11247967
24	564086	11236608
25	583349	11150954
26	602558	11069228
27	626126	11069026
28	649454	11063123
29	673097	11061237
30	692370	10988586
31	716450	10993039
32	736234	10931961
33	759876	10928811
34	778993	10861397
35	798363	10800078
36	821738	10793652
37	845375	10789662
38	868667	10780384
39	887713	10719142
40	907108	10664053
41	930932	10661398
42	954280	10652438
43	978085	10647798
44	1001385	10636942
45	1020253	10579583
46	1043674	10569979
47	1067030	10559159
48	1090575	10549653
49	1113983	10538286
50	1133015	10485944
51	1156337	10473745
52	1180249	10466363
53	1198615	10410200
54	1222090	10398877
55	1245943	10390276
56	1264960	10341610
57	1288449	10329813
58	1312081	10318740
59	1331798	10277042
60	1355143	10263548
61	1374818	10222441
62	1394046	10178754
63	1417253	10164365
64	1436577	10122349
65	1455926	10081191
66	1475229	10040371
67	1498074	10023883
68	1521601	10011699
69	1545218	9999771
70	1564408	9959331
71	1583481	9918751
72	1606440	9902714
73	1629971	9889963
74	1649059	9850380
75	1672539	9837175
76	1696712	9827713
77	1719150	9807976
78	1741530	9787842
79	1760682	9749781
80	1783652	9733017
81	1806570	9715821
82	1829840	9700360
83	1853436	9686413
84	1875951	9666668
85	1899027	9649709
86	1921838	9631280
87	1945579	9617352
88	1967692	9595263
89	1986223	9555943
90	2008025	9532605
91	2025420	9488653
92	2044404	9452622
93	2061910	9410207
94	2083610	9387212
95	2106961	9371588
96	2128631	9348422
97	2150513	9326206
98	2172825	9305839
99	2191776	9271215
100	2210417	9235607
101	2227463	9193744
102	2248672	9169346
103	2267127	9133908
104	2288572	9110697
105	2310131	9087971
106	2331219	9063432
107	2348154	9023000
108	2369799	9000888
109	2388107	8966257
110	2406593	8932582
111	2424858	8898364
112	2446504	8876697
113	2468585	8856592
114	2491998	8841177
115	2513987	8820627
116	2530906	8782461
117	2554223	8766613
118	2573110	8735601
119	2592060	8705002
120	2613971	8684433
121	2637834	8670259
122	2660698	8652678
123	2682526	8631678
124	2701424	8601335
125	2725632	8587906
126	2747337	8566500
127	2769572	8546728
128	2793840	8533125
129	2816108	8513313
130	2834737	8482572
131	2858921	8468472
132	2877766	8438562
133	2899519	8417260
134	2920583	8393972
135	2941860	8371323
136	2960656	8341703
137	2982550	8320882
138	3004285	8299609
139	3024968	8275449
140	3041830	8240988
141	3060132	8210638
142	3077004	8176654
143	3098623	8155405
144	3117192	8126199
145	3134538	8093978
146	3152210	8062796
147	3173845	8041838
148	3191913	8011916
149	3213470	7990830
150	3234165	7967613
151	3252634	7938995
152	3274004	7917526
153	3291744	7887360
154	3312456	7864412
155	3332985	7841061
156	3353955	7818774
157	3370812	7787003
158	3393012	7767651
159	3413948	7745394
160	3434981	7723374
161	3455520	7700264
162	3474067	7672788
163	3490945	7641764
164	3509485	7614519
165	3530581	7592876
166	3553043	7574151
167	3570197	7544167
168	3592212	7524516
169	3610019	7496100
170	3631326	7475011
171	3653370	7455424
172	3674755	7434477
173	3696096	7413435
174	3713001	7383568
175	3729637	7353319
176	3751732	7333895
177	3772712	7312280
178	3793648	7290587
179	3811031	7262133
180	3832118	7240798
181	3854578	7222039
182	3872053	7193978
183	3889938	7166789
184	3911986	7147305
185	3929111	7118874
186	3950802	7098768
187	3968151	7070908
188	3989460	7050157
189	4010731	7029335
190	4028723	7002806
191	4049605	6981351
192	4066612	6953274
193	4087204	6931392
194	4105377	6905455
195	4122517	6877873
196	4143335	6856483
197	4161005	6829933
198	4181579	6808199
199	4203214	6788192
200	4224384	6767422
201	4245861	6747137
202	4267308	6726791
203	4284633	6699990
204	4306551	6680406
205	4327911	6659941
206	4345701	6634018
207	4367239	6613847
208	4388977	6593966
209	4410553	6573824
210	4431955	6553413
211	4453141	6532674
212	4474193	6511736
213	4495007	6490455
214	4516077	6469543
215	4537275	6448812
216	4554155	6421988
217	4576068	6402297
218	4593082	6375786
219	4610383	6349754
220	4631632	6329199
221	4648273	6302388
222	4669486	6281820
223	4690855	6261454
224	4707906	6235361
225	4724672	6208971
226	4746044	6188675
227	4767329	6168255
228	4788688	6147923
229	4805640	6121968
230	4826589	6101143
231	4848443	6081452
232	4870164	6061577
233	4892072	6041919
234	4913160	6021235
235	4931685	5997430
236	4948472	5971573
237	4969427	5950784
238	4990561	5930206
239	5010723	5908478
240	5031405	5887371
241	5047971	5861487
242	5069619	5841536
243	5086473	5816090
244	5103184	5790551
245	5121076	5766415
246	5137626	5740829
247	5155773	5717087
248	5176615	5696356
249	5195245	5673207
250	5213089	5649243
251	5230488	5624851
252	5252423	5605353
253	5272852	5584241
254	5289738	5559411
255	5310052	5538218
256	5331772	5518487
257	5348399	5493511
258	5368861	5472507
259	5384946	5447080
260	5404841	5425550
261	5421336	5400643
262	5438470	5376434
263	5459021	5355631
264	5475682	5331041
265	5496862	5310878
266	5517359	5290052
267	5537884	5269255
268	5555742	5245942
269	5575877	5224803
270	5596550	5204172
271	5617277	5183590
272	5638234	5163218
273	5660258	5143811
274	5678033	5120553
275	5699049	5100236
276	5715400	5075770
277	5736467	5055520
278	5752772	5031098
279	5773091	5010218
280	5790585	4986909
281	5811149	4966266
282	5831788	4945686
283	5853265	4925811
284	5873866	4905193
285	5890085	4880944
286	5909092	4859044
287	5925594	4835120
288	5945654	4814128
289	5966374	4793673
290	5986482	4772728
291	6003492	4749337
292	6024046	4728773
293	6044869	4708418
294	6061481	4684806
295	6078033	4661194
296	6096136	4638811
297	6116449	4618124
298	6132620	4594337
299	6148780	4570593
300	6169019	4549908
301	6189349	4529292
302	6210554	4509313
303	6226992	4485892
304	6243610	4462646
305	6260198	4439422
306	6280878	4419119
307	6298363	4396584
308	6316469	4374512
309	6336024	4353462
310	6352854	4330563
311	6369134	4307331
312	6386373	4284787
313	6403789	4262395
314	6420202	4239371
315	6440467	4218913
316	6460943	4198593
317	6481354	4178231
318	6501677	4157812
319	6522063	4137433
320	6540043	4115541
321	6560315	4095103
322	6577525	4072771
323	6598635	4052865
324	6619840	4033010
325	6640215	4012645
326	6660606	3992289
327	6677019	3969569
328	6693479	3946915
329	6714042	3926697
330	6734238	3906265
331	6754951	3886132
332	6776171	3866284
333	6796846	3846119
334	6816655	3825466
335	6833300	3803057
336	6853666	3782735
337	6873818	3762297
338	6894042	3741899
339	6914206	3721470
340	6934702	3701219
341	6956262	3681530
342	6976916	3661355
343	6997088	3640927
344	7018535	3621157
345	7035032	3598846
346	7055664	3578665
347	7075897	3558281
348	7096397	3538031
349	7117371	3518015
350	7134106	3495915
351	7155175	3475951
352	7175302	3455527
353	7192164	3433547
354	7208487	3411340
355	7228332	3390818
356	7249660	3370990
357	7266272	3348980
358	7282404	3326780
359	7299766	3305172
360	7320280	3285001
361	7340804	3264832
362	7357442	3242949
363	7377713	3222682
364	7398870	3202798
365	7419401	3182639
366	7436070	3160836
367	7456875	3140803
368	7473663	3119089
369	7493662	3098730
370	7514162	3078578
371	7534714	3058445
372	7555142	3038261
373	7572838	3016986
374	7593190	2996779
375	7613192	2976434
376	7633930	2956376
377	7653449	2935847
378	7669805	2914121
379	7690063	2893892
380	7711693	2874174
381	7731916	2853927
382	7748173	2832230
383	7767662	2811731
384	7784047	2790125
385	7803087	2769489
386	7823418	2749315
387	7840033	2727846
388	7860336	2707673
389	7876528	2686098
390	7894608	2665187
391	7913624	2644604
392	7930186	2623216
393	7950687	2603144
394	7971153	2583057
395	7990118	2562487
396	8010488	2542371
397	8026771	2520970
398	8043546	2499748
399	8064079	2479704
400	8083289	2459255
401	8103570	2439134
402	8120731	2418083
403	8141042	2397980
404	8157802	2376841
405	8177481	2356564
406	8194313	2335479
407	8212097	2314684
408	8233004	2294773
409	8252582	2274492
410	8274522	2254857
411	8292378	2234111
412	8309801	2213264
413	8330841	2193385
414	8351094	2173296
415	8368283	2152418
416	8384396	2131285
417	8406093	2111578
418	8427245	2091726
419	8449216	2072069
420	8469608	2052019
421	8492447	2032552
422	8511342	2012137
423	8531849	1992106
424	8548650	1971218
425	8566162	1950511
426	8588327	1930865
427	8607649	1910576
428	8627465	1890400
429	8649991	1870812
430	8670335	1850744
431	8691802	1830912
432	8714889	1811408
433	8732728	1790812
434	8753405	1770803
435	8775141	1751003
436	8792350	1730302
437	8809695	1709644
438	8831691	1689890
439	8850162	1669462
440	8871992	1649667
441	8890306	1629219
442	8910129	1609052
443	8929659	1588835
444	8952389	1569182
445	8970708	1548754
446	8992509	1528927
447	9010515	1508456
448	9031314	1488457
449	9053229	1468635
450	9070962	1448135
451	9093616	1428422
452	9114495	1408420
453	9133732	1388166
454	9154384	1368127
455	9172621	1347731
456	9190316	1327266
457	9211855	1307359
458	9234415	1287587
459	9252441	1267182
460	9269614	1246672
461	9286627	1226156
462	9308219	1206248
463	9330980	1186482
464	9349452	1166168
465	9370050	1146122
466	9391312	1126153
467	9412129	1106126
468	9434174	1086237
469	9452739	1065947
470	9473416	1045897
471	9494425	1025880
472	9512186	1005516
473	9532936	985472
474	9551855	965240
475	9571285	945063
476	9589970	924818
477	9607672	904488
478	9629924	884585
479	9647956	864296
480	9670683	844425
481	9690453	824291
482	9713405	804422
483	9732005	784190
484	9754759	764290
485	9772765	744017
486	9794246	724010
487	9812358	703755
488	9830771	683530
489	9849237	663316
490	9871186	643335
491	9894519	623435
492	9916321	603427
493	9937155	583355
494	9957981	563279
495	9979367	543231
496	10002575	523273
497	10025963	503311
498	10046960	483220
499	10068327	463143
500	10091842	443154
501	10114139	423101
502	10135110	402986
503	10158442	382957
504	10179425	362831
505	10201061	342723
506	10224430	322664
507	10246470	302553
508	10264662	282328
509	10285895	262189
510	10309313	242097
511	10328985	221911
512	10352211	201797
513	10374397	181652
514	10395615	161485
515	10417205	141318
516	10435386	121107
517	10457529	100941
518	10476219	80741
519	10499464	60573
520	10520463	40385
521	10539916	20191
522	10562098	0
